,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
0,1,0,0,1,0,0,0,0,0,1,7.375,0.038,1.0,0.19583299999999998,1.0
1,1,0,0,1,0,0,0,0,0,1,7.375,0.038,1.0,0.19583299999999998,1.0
2,1,0,0,0,1,0,0,0,0,1,7.7083330000000005,0.024125,0.1875,0.175,1.0
3,1,0,0,1,0,0,0,0,0,1,7.9166669999999995,0.038208,3.0,0.416667,1.0
4,1,0,0,0,1,0,1,0,0,0,8.625,0.029082999999999998,0.0375,0.2125,1.0
5,1,0,0,0,1,0,0,0,0,1,8.625,0.029082999999999998,0.0375,0.2125,1.0
6,1,0,0,1,0,0,0,0,0,1,9.458333,0.041832999999999995,0.3125,0.29090900000000003,1.0
7,1,0,0,0,1,0,1,0,0,0,10.854167,0.03,2.6625,0.282609,1.0
8,1,0,0,1,0,0,1,0,0,0,10.875,0.040917,0.041667,0.304167,1.0
9,1,0,0,0,1,0,0,0,0,1,11.083333,0.035292000000000004,1.1125,0.145833,1.0
10,1,0,0,0,1,0,1,0,0,0,11.333333,0.028625,2.0,0.358333,1.0
11,1,0,1,0,0,0,0,0,0,1,11.791667,0.033458,0.041667,0.24166700000000002,1.0
12,1,0,0,1,0,0,1,0,0,0,12.5875,0.031625,1.041667,0.4125,1.0
13,1,0,0,1,0,0,0,0,1,0,12.75,0.040625,0.208333,0.225,1.0
14,1,0,0,1,0,0,0,0,0,1,12.75,0.040625,0.208333,0.225,1.0
15,1,0,1,0,0,0,0,0,0,1,13.333332999999998,0.024875,0.375,0.283333,1.0
16,1,0,1,0,0,0,0,0,0,1,14.416667000000002,0.036833,0.833333,0.37916700000000003,1.0
17,1,0,1,0,0,0,0,0,0,1,15.058333,0.027375,1.75,0.570833,1.0
18,1,0,1,0,0,0,0,0,0,1,15.666667000000002,0.035125,2.025,0.429167,1.0
19,1,0,1,0,0,0,0,0,0,1,15.666667000000002,0.035125,2.025,0.429167,1.0
20,1,0,0,1,0,0,0,0,0,1,15.9375,0.043667000000000004,0.0,0.34444400000000003,1.0
21,1,0,1,0,0,0,0,1,0,0,16.708333,0.033957999999999995,2.1125,0.270833,1.0
22,1,0,1,0,0,0,0,0,0,1,18.583333,0.028792,0.0,0.429167,1.0
23,1,0,0,0,1,0,0,0,0,1,19.0,0.031208,2.4375,0.866667,1.0
24,1,0,0,0,0,1,0,0,0,1,20.333333,0.0075829999999999995,0.8875,0.879167,1.0
25,1,0,0,0,1,0,0,0,1,0,21.35,0.029375,1.5,0.120833,1.0
26,1,0,0,0,0,1,0,0,0,1,21.454545,0.023587999999999998,0.43333299999999997,0.9454549999999999,1.0
27,1,0,1,0,0,0,0,0,0,1,22.25,0.027542,1.9125,0.6,1.0
28,1,0,0,0,1,0,0,0,0,1,22.782609,0.017166999999999998,0.695652,0.225,1.0
29,1,0,0,0,1,0,0,0,0,1,23.625,0.016278,2.6875,0.7125,1.0
30,1,0,0,0,0,1,0,0,0,1,23.791667,0.016166999999999997,1.0,0.775,1.0
31,1,0,0,0,1,0,0,0,1,0,28.979166999999997,0.017125,2.541667,0.7875,1.0
32,1,0,0,0,0,1,0,1,0,0,29.291666999999997,0.006833,3.125,0.691667,1.0
33,1,0,1,0,0,0,0,0,0,1,30.041666999999997,0.019,1.333333,0.8875,1.0
34,1,0,1,0,0,0,0,0,0,1,30.090909000000003,0.015458000000000001,1.114286,0.6863640000000001,1.0
35,1,0,1,0,0,0,0,0,0,1,30.875,0.021,3.1,0.9375,1.0
36,1,0,0,0,0,1,0,0,0,1,32.0,0.008917,2.2375,1.2,1.0
37,1,0,0,0,0,1,0,0,0,1,34.333333,0.012875,2.375,1.141667,1.0
38,1,0,0,0,0,1,0,0,0,1,40.458333,0.005083,9.291667,1.8125,1.0
39,1,0,0,1,0,0,0,0,0,1,0.772727,0.019,0.0,0.104545,1.0
