,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
0,1,0,0,0,1,0,0,0,0,1,0.038,0.004,0.005,0.4,
1,1,0,0,0,1,0,0,0,0,1,0.031,0.008,0.005,0.4,
2,1,0,0,0,1,0,0,0,0,1,0.025,0.012,0.005,0.4,
3,1,0,0,0,1,0,0,0,0,1,0.033,0.006999999999999999,0.005,0.4,
4,1,0,0,0,1,0,0,0,0,1,0.033,0.008,0.005,0.4,
5,1,0,0,0,1,0,0,0,0,1,0.026000000000000002,0.011000000000000001,0.005,0.4,
6,1,0,0,0,1,0,0,0,1,0,0.021,0.015,0.005,0.4,
7,1,0,0,0,1,0,0,0,1,0,0.017,0.018000000000000002,0.005,0.3,
8,1,0,0,0,1,0,0,0,1,0,0.015,0.018000000000000002,0.004,0.3,
9,1,0,0,0,1,0,0,0,1,0,0.015,0.018000000000000002,0.005,0.3,
10,1,0,0,0,1,0,0,0,1,0,0.015,0.016,0.004,0.4,
11,1,0,0,0,1,0,0,0,1,0,0.022000000000000002,0.013999999999999999,0.006,0.4,
12,1,0,0,0,1,0,0,1,0,0,0.031,0.009000000000000001,0.005,0.5,
13,1,0,0,0,1,0,0,1,0,0,0.038,0.004,0.006,0.6,
14,1,0,0,0,1,0,0,1,0,0,0.040999999999999995,0.002,0.005,0.6,
15,1,0,0,0,1,0,0,1,0,0,0.036000000000000004,0.002,0.004,0.5,
16,1,0,0,0,1,0,0,1,0,0,0.031,0.003,0.005,0.4,
17,1,0,0,0,1,0,0,1,0,0,0.032,0.002,0.005,0.4,
18,1,0,0,0,1,0,1,0,0,0,0.027000000000000003,0.005,0.004,0.4,
19,1,0,0,0,1,0,1,0,0,0,0.022000000000000002,0.008,0.005,0.4,
20,1,0,0,0,1,0,1,0,0,0,0.026000000000000002,0.006,0.004,0.4,
21,1,0,0,0,1,0,1,0,0,0,0.036000000000000004,0.003,0.005,0.5,
22,1,0,0,0,1,0,1,0,0,0,0.036000000000000004,0.003,0.005,0.4,
23,1,0,0,0,1,0,1,0,0,0,0.031,0.006,0.005,0.4,
24,1,0,0,0,1,0,0,0,0,1,0.025,0.011000000000000001,0.005,0.4,
25,1,0,0,0,1,0,0,0,0,1,0.031,0.008,0.005,0.4,
26,1,0,0,0,1,0,0,0,0,1,0.032,0.008,0.005,0.4,
27,1,0,0,0,1,0,0,0,0,1,0.027999999999999997,0.01,0.005,0.4,
28,1,0,0,0,1,0,0,0,0,1,0.027999999999999997,0.01,0.005,0.4,
29,1,0,0,0,1,0,0,0,0,1,0.027000000000000003,0.012,0.005,0.4,
30,1,0,0,0,1,0,0,0,1,0,0.022000000000000002,0.013999999999999999,0.005,0.4,
31,1,0,0,0,1,0,0,0,1,0,0.02,0.016,0.005,0.3,
32,1,0,0,0,1,0,0,0,1,0,0.017,0.017,0.006,0.3,
33,1,0,0,0,1,0,0,0,1,0,0.012,0.021,0.006,0.3,
34,1,0,0,0,1,0,0,0,1,0,0.012,0.019,0.005,0.3,
35,1,0,0,0,1,0,0,0,1,0,0.025,0.013000000000000001,0.006,0.4,
36,1,0,0,0,1,0,0,1,0,0,0.036000000000000004,0.006999999999999999,0.006999999999999999,0.5,
37,1,0,0,0,1,0,0,1,0,0,0.039,0.005,0.005,0.5,
38,1,0,0,0,1,0,0,1,0,0,0.039,0.004,0.006,0.5,
39,1,0,0,0,1,0,0,1,0,0,0.040999999999999995,0.004,0.005,0.6,
40,1,0,0,0,1,0,0,1,0,0,0.031,0.006999999999999999,0.005,0.4,
41,1,0,0,0,1,0,0,1,0,0,0.03,0.006999999999999999,0.005,0.4,
42,1,0,0,0,1,0,1,0,0,0,0.017,0.015,0.006,0.4,
43,1,0,0,0,1,0,1,0,0,0,0.013000000000000001,0.017,0.005,0.4,
44,1,0,0,0,1,0,1,0,0,0,0.012,0.018000000000000002,0.005,0.4,
45,1,0,0,0,1,0,1,0,0,0,0.015,0.016,0.005,0.4,
46,1,0,0,0,1,0,1,0,0,0,0.021,0.013000000000000001,0.006,0.4,
47,1,0,0,0,1,0,1,0,0,0,0.021,0.013999999999999999,0.006,0.4,
48,1,0,0,0,1,0,0,0,0,1,0.021,0.013999999999999999,0.005,0.4,
49,1,0,0,0,1,0,0,0,0,1,0.019,0.015,0.005,0.4,
50,1,0,0,0,1,0,0,0,0,1,0.018000000000000002,0.016,0.005,0.4,
51,1,0,0,0,1,0,0,0,0,1,0.023,0.013999999999999999,0.006,0.4,
52,1,0,0,0,1,0,0,0,0,1,0.03,0.01,0.005,0.5,
53,1,0,0,0,1,0,0,0,0,1,0.031,0.01,0.006,0.5,
54,1,0,0,0,1,0,0,0,1,0,0.03,0.013000000000000001,0.006999999999999999,0.6,
55,1,0,0,0,1,0,0,0,1,0,0.034,0.018000000000000002,0.006999999999999999,0.7,
56,1,0,0,0,1,0,0,0,1,0,0.03,0.023,0.006999999999999999,0.7,
57,1,0,0,0,1,0,0,0,1,0,0.057999999999999996,0.004,0.006,0.7,
58,1,0,0,0,1,0,0,0,1,0,0.054000000000000006,0.005,0.006,0.7,
59,1,0,0,0,1,0,0,0,1,0,0.053,0.004,0.006,0.7,
60,1,0,0,0,1,0,0,1,0,0,0.051,0.004,0.006,0.7,
61,1,0,0,0,1,0,0,1,0,0,0.05,0.003,0.005,0.7,
62,1,0,0,0,1,0,0,1,0,0,0.052000000000000005,0.002,0.005,0.7,
63,1,0,0,0,1,0,0,1,0,0,0.051,0.002,0.005,0.6,
64,1,0,0,0,1,0,0,1,0,0,0.048,0.002,0.006999999999999999,0.5,
65,1,0,0,0,1,0,0,1,0,0,0.045,0.002,0.006,0.5,
66,1,0,0,0,1,0,1,0,0,0,0.045,0.002,0.006,0.5,
67,1,0,0,0,1,0,1,0,0,0,0.047,0.002,0.006,0.5,
68,1,0,0,0,1,0,1,0,0,0,0.049,0.002,0.006,0.6,
69,1,0,0,0,1,0,1,0,0,0,0.052000000000000005,0.002,0.006,0.7,
70,1,0,0,0,1,0,1,0,0,0,0.052000000000000005,0.002,0.006,0.7,
71,1,0,0,0,1,0,1,0,0,0,0.055999999999999994,0.002,0.006,0.8,
72,1,0,0,0,1,0,0,0,0,1,0.063,0.002,0.006999999999999999,0.9,
73,1,0,0,0,1,0,0,0,0,1,0.071,0.002,0.006,1.0,
74,1,0,0,0,1,0,0,0,0,1,0.066,0.002,0.006999999999999999,0.7,
75,1,0,0,0,1,0,0,0,0,1,0.065,0.002,0.006999999999999999,0.6,
76,1,0,0,0,1,0,0,0,0,1,0.063,0.002,0.006,0.6,
77,1,0,0,0,1,0,0,0,0,1,0.061,0.002,0.006999999999999999,0.8,
78,1,0,0,0,1,0,0,0,1,0,0.053,0.004,0.005,0.6,
79,1,0,0,0,1,0,0,0,1,0,0.039,0.01,0.006999999999999999,0.5,
80,1,0,0,0,1,0,0,0,1,0,0.036000000000000004,0.012,0.006,0.5,
81,1,0,0,0,1,0,0,0,1,0,0.040999999999999995,0.01,0.006999999999999999,0.6,
82,1,0,0,0,1,0,0,0,1,0,0.042,0.006999999999999999,0.006,0.6,
83,1,0,0,0,1,0,0,0,1,0,0.043,0.006,0.006,0.7,
84,1,0,0,0,1,0,0,1,0,0,0.037000000000000005,0.006,0.006,0.6,
85,1,0,0,0,1,0,0,1,0,0,0.039,0.004,0.005,0.6,
86,1,0,0,0,1,0,0,1,0,0,0.042,0.003,0.005,0.7,
87,1,0,0,0,1,0,0,1,0,0,0.042,0.002,0.005,0.8,
88,1,0,0,0,1,0,0,1,0,0,0.04,0.002,0.006,0.6,
89,1,0,0,0,1,0,0,1,0,0,0.039,0.002,0.004,0.7,
90,1,0,0,0,1,0,1,0,0,0,0.04,0.002,0.005,0.6,
91,1,0,0,0,1,0,1,0,0,0,0.045,0.002,0.005,0.6,
92,1,0,0,0,1,0,1,0,0,0,0.042,0.003,0.005,0.5,
93,1,0,0,0,1,0,1,0,0,0,0.046,0.002,0.006,0.6,
94,1,0,0,0,1,0,1,0,0,0,0.047,0.002,0.005,0.6,
95,1,0,0,0,1,0,1,0,0,0,0.05,0.002,0.004,0.7,
96,1,0,0,0,1,0,0,0,0,1,0.054000000000000006,0.002,0.006,0.8,
97,1,0,0,0,1,0,0,0,0,1,0.053,0.002,0.005,0.7,
98,1,0,0,0,1,0,0,0,0,1,0.055999999999999994,0.002,0.006,0.8,
99,1,0,0,0,1,0,0,0,0,1,0.054000000000000006,0.002,0.006,0.7,
100,1,0,0,0,1,0,0,0,0,1,0.053,0.002,0.006,0.7,
101,1,0,0,0,1,0,0,0,0,1,0.053,0.002,0.005,0.6,
102,1,0,0,0,1,0,0,0,1,0,0.052000000000000005,0.003,0.006999999999999999,0.6,
103,1,0,0,0,1,0,0,0,1,0,0.049,0.004,0.005,0.5,
104,1,0,0,0,1,0,0,0,1,0,0.045,0.005,0.006,0.5,
105,1,0,0,0,1,0,0,0,1,0,0.045,0.005,0.006,0.5,
106,1,0,0,0,1,0,0,0,1,0,0.046,0.004,0.005,0.5,
107,1,0,0,0,1,0,0,0,1,0,0.039,0.009000000000000001,0.005,0.5,
108,1,0,0,0,1,0,0,1,0,0,0.033,0.01,0.006,0.5,
109,1,0,0,0,1,0,0,1,0,0,0.039,0.006,0.006,0.5,
110,1,0,0,0,1,0,0,1,0,0,0.042,0.004,0.006,0.6,
111,1,0,0,0,1,0,0,1,0,0,0.044000000000000004,0.002,0.005,0.5,
112,1,0,0,0,1,0,0,1,0,0,0.034,0.006999999999999999,0.005,0.5,
113,1,0,0,0,1,0,0,1,0,0,0.023,0.013000000000000001,0.006,0.5,
114,1,0,0,0,1,0,1,0,0,0,0.016,0.018000000000000002,0.006,0.5,
115,1,0,0,0,1,0,1,0,0,0,0.013999999999999999,0.019,0.005,0.4,
116,1,0,0,0,1,0,1,0,0,0,0.012,0.021,0.005,0.4,
117,1,0,0,0,1,0,1,0,0,0,0.013999999999999999,0.021,0.005,0.4,
118,1,0,0,0,1,0,1,0,0,0,0.013999999999999999,0.021,0.005,0.4,
