State.Code,city,state,location
4,kingman (desert&#44 out of),az,inland
4,tacna (approx),az,inland
4,apache junction,az,inland
4,sedona,az,inland
4,tucson,az,inland
4,surprise,az,inland
4,tucson,az,inland
4,yuma,az,inland
4,scottsdale,az,inland
4,marana (avra valley),az,inland
4,buckeye,az,inland
4,grand canyon,az,inland
4,surprise,az,inland
4,scottsdale,az,inland
4,yuma,az,inland
4,benson,az,inland
4,tucson,az,inland
4,peoria,az,inland
4,gilbert,az,inland
4,gilbert,az,inland
4,flagstaff,az,inland
4,apache junction,az,inland
4,surprise,az,inland
4,maricopa,az,inland
4,buckeye,az,inland
4,casa grande,az,inland
4,mesa,az,inland
4,bouse,az,inland
4,tucson,az,inland
4,marana,az,inland
4,bullhead city,az,inland
4,quartzsite,az,inland
4,tonopah (south of),az,inland
4,chandler,az,inland
4,tucson,az,inland
4,queen creek,az,inland
4,mesa,az,inland
4,goodyear,az,inland
4,phoenix,az,inland
6,rancho cucamonga,ca,inland
6,irvine,ca,coast
6,santa rosa,ca,inland
6,riverside,ca,inland
6,mill valley,ca,coast
6,fontana,ca,inland
6,simi valley,ca,coast
6,west los angeles,ca,coast
6,los osos,ca,coast
6,arcata,ca,coast
6,nevada city,ca,inland
6,fresno,ca,inland
6,sacramento (60 east of),ca,inland
6,fresno,ca,inland
6,scotts valley,ca,coast
6,woodland,ca,inland
6,sanger,ca,coast
6,san francisco,ca,coast
6,santa monica,ca,coast
6,la jolla,ca,coast
6,san francisco,ca,coast
6,millbrae,ca,coast
6,mariposa,ca,coast
6,hayward,ca,inland
6,quincy,ca,inland
6,westlake village,ca,coast
6,clovis,ca,inland
6,rocklin,ca,inland
6,san francisco,ca,coast
6,berry creek,ca,inland
6,fresno,ca,inland
6,patterson,ca,inland
6,burbank,ca,inland
6,fallbrook,ca,coast
6,los angeles,ca,coast
6,mission viejo,ca,coast
6,san diego,ca,coast
6,san diego,ca,coast
6,santa clara,ca,coast
6,los angeles,ca,coast
6,san diego (mira mesa),ca,coast
6,los angeles,ca,coast
6,visalia,ca,inland
6,west covina,ca,inland
6,santa rosa,ca,inland
6,thermal (near&#44 torres martinez indian reservation),ca,inland
6,san diego,ca,coast
6,oakley,ca,inland
6,pasadena,ca,coast
6,burbank,ca,inland
6,san diego,ca,coast
6,san diego (carmel mountain),ca,coast
6,san jose,ca,coast
6,altadena,ca,inland
6,el cajon,ca,inland
6,santee,ca,inland
6,san diego,ca,coast
6,martinez,ca,coast
6,murrieta,ca,coast
6,mission beach (san diego),ca,coast
6,santa rosa,ca,inland
6,glendale,ca,inland
6,orange,ca,coast
6,springville,ca,inland
6,coalinga,ca,inland
6,sylmar,ca,inland
6,cathedral city,ca,inland
6,chico,ca,inland
6,san diego,ca,coast
6,atascadero,ca,coast
6,long beach,ca,coast
6,placerville,ca,inland
6,san diego,ca,coast
6,cottonwood,ca,inland
6,san rafael,ca,coast
6,alameda,ca,coast
6,san diego,ca,coast
6,fremont,ca,inland
6,santa barbara,ca,coast
6,temple city,ca,inland
6,somes bar,ca,inland
6,rancho san diego,ca,inland
6,corona,ca,inland
6,ahwahnee,ca,inland
6,san clemente,ca,coast
6,mountain view,ca,coast
6,morgan hill,ca,coast
6,garden grove,ca,coast
6,san diego,ca,coast
6,whittier,ca,inland
6,pomona,ca,inland
6,madera,ca,inland
6,livermore,ca,coast
6,san francisco,ca,coast
6,oxnard,ca,coast
6,sonora,ca,inland
6,bloomington,ca,inland
6,los angeles (sw of),ca,coast
